source_language,target_language,source_text,target_text,table_name,source_comment,weight
uk,en,Бетапак,sotalol,UTIS,http://utis.in.ua/sotalol/,3
uk,en,Бетапрессін,betapressin,UTIS,http://utis.in.ua/betapressin/,3
uk,en,Бетарен,diclofenac,UTIS,http://utis.in.ua/diclofenac/,3
uk,en,Бетаспорина,ceftriaxone,UTIS,http://utis.in.ua/ceftriaxone/,3
uk,en,Бетель горіх,arecoline,UTIS,http://utis.in.ua/arecoline/,3
uk,en,Бетккіс,tobramycin,UTIS,http://utis.in.ua/tobramycin/,3
uk,en,Бетлибен,betamethasone,UTIS,http://utis.in.ua/betamethasone/,3
uk,en,Бетновейт,betamethasone,UTIS,http://utis.in.ua/betamethasone/,3
uk,en,Бетоптик,betaxolol,UTIS,http://utis.in.ua/betaxolol/,3
uk,en,Бівалірудин,bivalirudin,UTIS,http://utis.in.ua/bivalirudin/,3
uk,en,Бігафлон,gatifloxacin,UTIS,http://utis.in.ua/gatifloxacin/,3
uk,en,Акнестоп,azelex,UTIS,http://utis.in.ua/azelex/,3
uk,en,Акнетін,isotretinoin,UTIS,http://utis.in.ua/isotretinoin/,3
uk,en,Акова (acova),argatroban,UTIS,http://utis.in.ua/argatroban/,3
uk,en,Аколат,zafirlukast,UTIS,http://utis.in.ua/zafirlukast/,3
uk,en,Акридерм,acrolein,UTIS,http://utis.in.ua/acrolein/,3
uk,en,Акриловий альдегід,acrolein,UTIS,http://utis.in.ua/acrolein/,3
uk,en,Акролеїн,acrolein,UTIS,http://utis.in.ua/acrolein/,3
uk,en,Аксепім,cefepime,UTIS,http://utis.in.ua/cefepime/,3
uk,en,Аксерт,almotriptan,UTIS,http://utis.in.ua/almotriptan/,3
uk,en,Акситініб,axitinib,UTIS,http://utis.in.ua/axitinib/,3
uk,en,Аксід,nizatidine,UTIS,http://utis.in.ua/nizatidine/,3
uk,en,Акспарин,enoxaparin,UTIS,http://utis.in.ua/enoxaparin/,3
uk,en,Актемра,tocilizumab,UTIS,http://utis.in.ua/tocilizumab/,3
uk,en,Активоване вугілля,coal,UTIS,http://utis.in.ua/coal/,3
uk,en,Актилізе,alteplase,UTIS,http://utis.in.ua/alteplase/,3
uk,en,Актонель,risedronate,UTIS,http://utis.in.ua/risedronate/,3
