"url","title","source","language","page_name","title_latin_name","title_latin_name_has_asterisk","title_uk_name"
"https://compendium.com.ua/uk/akt/76/113189/lapatinib/","ЛАПАТИНІБ (LAPATINIB)","compendium.com.ua","uk","lapatinib","LAPATINIB",False,"ЛАПАТИНІБ"
"https://compendium.com.ua/uk/akt/76/136/latanoprostum/","ЛАТАНОПРОСТ (LATANOPROSTUM)","compendium.com.ua","uk","latanoprostum","LATANOPROSTUM",False,"ЛАТАНОПРОСТ"
"https://compendium.com.ua/uk/akt/76/1470/lacidipinum/","ЛАЦИДИПІН (LACIDIPINUM)","compendium.com.ua","uk","lacidipinum","LACIDIPINUM",False,"ЛАЦИДИПІН"
"https://compendium.com.ua/uk/akt/76/3054/levamisolum/","ЛЕВАМІЗОЛ (LEVAMISOLUM)","compendium.com.ua","uk","levamisolum","LEVAMISOLUM",False,"ЛЕВАМІЗОЛ"
"https://compendium.com.ua/uk/akt/76/556774/levamlodipinum/","ЛЕВАМЛОДИПІН (LEVAMLODIPINUM)","compendium.com.ua","uk","levamlodipinum","LEVAMLODIPINUM",False,"ЛЕВАМЛОДИПІН"
"https://compendium.com.ua/uk/akt/76/858054/levana/","ЛЕВАНА* (LEVANA*)","compendium.com.ua","uk","levana","LEVANA",True,"ЛЕВАНА"
"https://compendium.com.ua/uk/akt/76/94055/levetiracetamum/","ЛЕВЕТИРАЦЕТАМ (LEVETIRACETAMUM)","compendium.com.ua","uk","levetiracetamum","LEVETIRACETAMUM",False,"ЛЕВЕТИРАЦЕТАМ"
"https://compendium.com.ua/uk/akt/76/923271/levilimabum/","Левілімаб (Levilimabum)","compendium.com.ua","uk","levilimabum","Levilimabum",False,"Левілімаб"
"https://compendium.com.ua/uk/akt/69/943/ebastinum/","ЕБАСТИН (EBASTINUM)","compendium.com.ua","uk","ebastinum","EBASTINUM",False,"ЕБАСТИН"
"https://compendium.com.ua/uk/akt/69/80614/everolimusum/","ЕВЕРОЛІМУС (EVEROLIMUSUM)","compendium.com.ua","uk","everolimusum","EVEROLIMUSUM",False,"ЕВЕРОЛІМУС"
"https://compendium.com.ua/uk/akt/69/163/eucalyptus-viminalis/","ЕВКАЛІПТ ПРУТОВИДНИЙ*& (EUCALYPTUS VIMINALIS*&)","compendium.com.ua","uk","eucalyptus-viminalis","EUCALYPTUS VIMINALIS*&",False,"ЕВКАЛІПТ ПРУТОВИДНИЙ*&"
"https://compendium.com.ua/uk/akt/69/448408/evolocumabum/","ЕВОЛОКУМАБ (EVOLOCUMABUM)","compendium.com.ua","uk","evolocumabum","EVOLOCUMABUM",False,"ЕВОЛОКУМАБ"
"https://compendium.com.ua/uk/akt/69/39932/esomeprazolum/","ЕЗОМЕПРАЗОЛ (ESOMEPRAZOLUM)","compendium.com.ua","uk","esomeprazolum","ESOMEPRAZOLUM",False,"ЕЗОМЕПРАЗОЛ"
"https://compendium.com.ua/uk/akt/69/2621/econazolum/","ЕКОНАЗОЛ (ECONAZOLUM)","compendium.com.ua","uk","econazolum","ECONAZOLUM",False,"ЕКОНАЗОЛ"
"https://compendium.com.ua/uk/akt/69/5/exemestanum/","ЕКСЕМЕСТАН (EXEMESTANUM)","compendium.com.ua","uk","exemestanum","EXEMESTANUM",False,"ЕКСЕМЕСТАН"
"https://compendium.com.ua/uk/akt/69/109209/exenatidum/","ЕКСЕНАТИД (EXENATIDUM)","compendium.com.ua","uk","exenatidum","EXENATIDUM",False,"ЕКСЕНАТИД"
"https://compendium.com.ua/uk/akt/69/474/ectericidum/","ЕКТЕРИЦИД* (ECTERICIDUM*)","compendium.com.ua","uk","ectericidum","ECTERICIDUM",True,"ЕКТЕРИЦИД"
"https://compendium.com.ua/uk/akt/69/145/eleutherococcus-senticosus/","ЕЛЕУТЕРОКОК (ВІЛЬНОЯГІДНИК) КОЛЮЧИЙ* (ELEUTHEROCOCCUS SENTICOSUS*)","compendium.com.ua","uk","eleutherococcus-senticosus","ELEUTHEROCOCCUS SENTICOSUS",True,"ЕЛЕУТЕРОКОК"
"https://compendium.com.ua/uk/akt/69/356805/elosulfase-alfa/","ЕЛОСУЛЬФАЗА АЛЬФА (ELOSULFASE ALFA)","compendium.com.ua","uk","elosulfase-alfa","ELOSULFASE ALFA",False,"ЕЛОСУЛЬФАЗА АЛЬФА"
"https://compendium.com.ua/uk/akt/69/142116/eltrombopag/","ЕЛЬТРОМБОПАГ (ELTROMBOPAG)","compendium.com.ua","uk","eltrombopag","ELTROMBOPAG",False,"ЕЛЬТРОМБОПАГ"
"https://compendium.com.ua/uk/akt/69/500239/emicizumabum/","ЕМІЦИЗУМАБ (EMICIZUMABUM)","compendium.com.ua","uk","emicizumabum","EMICIZUMABUM",False,"ЕМІЦИЗУМАБ"
"https://compendium.com.ua/uk/akt/69/473/emoxypinum/","ЕМОКСИПІН* (EMOXYPINUM*)","compendium.com.ua","uk","emoxypinum","EMOXYPINUM",True,"ЕМОКСИПІН"
"https://compendium.com.ua/uk/akt/70/292652/ferricum-carboxymaltosum/","ЗАЛІЗА КАРБОКСИМАЛЬТОЗА (FERRICUM CARBOXYMALTOSUM)","compendium.com.ua","uk","ferricum-carboxymaltosum","FERRICUM CARBOXYMALTOSUM",False,"ЗАЛІЗА КАРБОКСИМАЛЬТОЗА"
"https://compendium.com.ua/uk/akt/90/399475/zonisamidum/","ЗОНІСАМІД (ZONISAMIDUM)","compendium.com.ua","uk","zonisamidum","ZONISAMIDUM",False,"ЗОНІСАМІД"
"https://compendium.com.ua/uk/akt/76/68/levodropropizinum/","ЛЕВОДРОПРОПІЗИН (LEVODROPROPIZINUM)","compendium.com.ua","uk","levodropropizinum","LEVODROPROPIZINUM",False,"ЛЕВОДРОПРОПІЗИН"
"https://compendium.com.ua/uk/akt/76/3050/levomepromazinum/","ЛЕВОМЕПРОМАЗИН (LEVOMEPROMAZINUM)","compendium.com.ua","uk","levomepromazinum","LEVOMEPROMAZINUM",False,"ЛЕВОМЕПРОМАЗИН"
"https://compendium.com.ua/uk/akt/76/3049/levonorgestrelum/","ЛЕВОНОРГЕСТРЕЛ (LEVONORGESTRELUM)","compendium.com.ua","uk","levonorgestrelum","LEVONORGESTRELUM",False,"ЛЕВОНОРГЕСТРЕЛ"
"https://compendium.com.ua/uk/akt/76/62523/levosimendanum/","ЛЕВОСИМЕНДАН (LEVOSIMENDANUM)","compendium.com.ua","uk","levosimendanum","LEVOSIMENDANUM",False,"ЛЕВОСИМЕНДАН"
